Wall time,Step,Value
1715689579.5783076,200,0.0
1715689587.3436906,400,0.0
1715689594.0280719,600,0.0
1715689600.2107975,800,0.0
1715689606.6656842,1000,0.0
1715689611.7949405,1160,0.0416666679084301
1715689615.1949553,1266,0.1071428582072258
1715689618.8446302,1382,0.15625
1715689622.1962125,1485,0.1944444477558136
1715689627.028405,1637,0.20000000298023224
1715689633.4064558,1837,0.1818181872367859
1715689638.8442307,1991,0.1875
1715689647.4834611,2191,0.17307692766189575
1715689653.510686,2296,0.1964285671710968
1715689661.539736,2496,0.18333333730697632
1715689668.569684,2648,0.1875
1715689676.5971177,2848,0.1764705926179886
1715689684.6242514,3048,0.1666666716337204
1715689692.6534238,3248,0.15789473056793213
1715689700.6842644,3448,0.15000000596046448
1715689708.7130885,3648,0.1428571492433548
1715689716.7431462,3848,0.13636364042758942
1715689723.7693708,4000,0.14130434393882751
1715689730.7948263,4156,0.1458333283662796
1715689737.8207743,4310,0.15000000596046448
1715689744.8279243,4510,0.15000000596046448
1715689751.9596732,4710,0.15000000596046448
1715689757.177696,4862,0.1599999964237213
1715689764.4248083,5062,0.1599999964237213
1715689770.0593283,5215,0.17000000178813934
1715689777.274222,5415,0.1599999964237213
1715689784.6586,5615,0.14000000059604645
1715689791.6006794,5815,0.11999999731779099
1715689796.904743,5966,0.10999999940395355
1715689801.8381233,6108,0.11999999731779099
1715689807.6003244,6260,0.12999999523162842
1715689811.601248,6365,0.14000000059604645
1715689817.3710525,6517,0.15000000596046448
1715689824.9311023,6717,0.12999999523162842
1715689830.9553466,6831,0.15000000596046448
1715689836.9781897,6944,0.1599999964237213
1715689845.0083032,7144,0.1599999964237213
1715689853.0387497,7344,0.1599999964237213
1715689860.0620947,7512,0.17000000178813934
1715689868.0881407,7712,0.17000000178813934
1715689875.1126494,7863,0.18000000715255737
1715689882.1393712,8016,0.1899999976158142
1715689888.73403,8181,0.1899999976158142
1715689894.6953206,8349,0.1899999976158142
1715689900.7442148,8510,0.1899999976158142
1715689907.809542,8710,0.1899999976158142
1715689914.924697,8910,0.1899999976158142
1715689918.585293,9012,0.20000000298023224
1715689926.6324923,9212,0.20000000298023224
1715689934.6591825,9412,0.1899999976158142
1715689942.6855006,9612,0.1899999976158142
1715689950.7156463,9812,0.1899999976158142
